"id","title","url","type","audience__001","audience__002","audience__003","owner_email","description","vendor_url"
"1","Employee Handbook","https://intranet.company.com/hr/employee-handbook","document","all employees","","","hr@company.com","Comprehensive guide covering company policies, procedures, code of conduct, and employee benefits. Essential reading for all new hires and a reference guide for existing employees on workplace rules and expectations.","null"
"2","Salesforce CRM","https://company.salesforce.com","tool","sales agents","managers","","salesops@company.com","Customer relationship management system for tracking leads, opportunities, and customer interactions. Primary tool for sales team to manage pipeline, forecast revenue, and maintain customer contact information.","https://www.salesforce.com"
"3","Product Catalog 2024","https://intranet.company.com/products/catalog-2024","document","sales agents","marketing","","productteam@company.com","Complete listing of all current products with specifications, pricing tiers, and SKU numbers. Includes product images, nutritional information, and packaging details for the entire portfolio.","null"
"4","SAP ERP System","https://sap.company.com","app","finance","supply chain","managers","it@company.com","Enterprise resource planning system for managing financials, procurement, manufacturing, and inventory. Central system for processing purchase orders, managing vendor relationships, and tracking production schedules.","https://www.sap.com"
"5","New Hire Onboarding Checklist","https://intranet.company.com/hr/onboarding-checklist","document","new hires","managers","","hr@company.com","Step-by-step guide for first 90 days including required training, system access requests, and key meetings. Helps new employees navigate their initial period and ensures all administrative tasks are completed.","null"
"6","Microsoft Teams","https://teams.microsoft.com","tool","all employees","","","it@company.com","Primary communication and collaboration platform for instant messaging, video calls, and file sharing. Used for daily team communication, virtual meetings, and project collaboration across departments.","https://www.microsoft.com/teams"
"7","Brand Guidelines Manual","https://intranet.company.com/marketing/brand-guidelines","manual","marketing","designers","agencies","marketing@company.com","Official brand standards including logo usage, color palettes, typography, and tone of voice. Essential reference for creating marketing materials and ensuring consistent brand representation across all channels.","null"
"8","Expense Reimbursement Portal","https://intranet.company.com/finance/expenses","app","all employees","","","finance@company.com","Online system for submitting expense reports, uploading receipts, and tracking reimbursement status. Includes guidelines on allowable expenses, per diem rates, and approval workflows for business travel.","null"
"9","Quality Control Procedures","https://intranet.company.com/quality/procedures","manual","quality team","production","","quality@company.com","Detailed protocols for product testing, sampling procedures, and quality standards compliance. Contains SOPs for laboratory testing, batch release criteria, and deviation management processes.","null"
"10","Workday HR System","https://company.workday.com","tool","all employees","","","hr@company.com","Self-service portal for managing personal information, viewing pay stubs, and requesting time off. Employees can update contact details, enroll in benefits, and complete performance reviews.","https://www.workday.com"
"11","Sales Training Academy","https://intranet.company.com/training/sales-academy","link","sales agents","new hires","","salestraining@company.com","Comprehensive training program covering product knowledge, selling techniques, and customer engagement strategies. Includes video modules, role-playing exercises, and certification programs for sales excellence.","null"
"12","IT Service Desk","https://helpdesk.company.com","tool","all employees","","","it@company.com","Portal for submitting IT support tickets, requesting new equipment, and accessing self-help resources. Provides status updates on technical issues and knowledge base articles for common problems.","null"
